zip_code,hospitalization_rate
10001,57.9
10002,224.4
10003,87.1
10004,168.2
10005,91.4
10006,88.7
10007,57.2
10009,173.2
10010,95.9
10011,116.6
10012,69.1
10013,90.2
10014,118.7
10016,121.8
10017,89.7
10018,67.9
10019,151.6
10021,102.5
10022,123.0
10023,108.4
10024,106.1
10025,127.7
10026,204.3
10027,209.8
10028,111.9
10029,223.7
10030,283.6
10031,225.3
10032,302.9
10033,258.0
10034,168.1
10035,377.4
10036,113.8
10037,240.5
10038,109.3
10039,217.1
10040,259.3
10044,128.5
10065,71.7
10069,63.6
10075,195.3
10128,66.6
10280,53.5
10282,89.7
10301,185.1
10302,211.0
10303,181.0
10304,245.9
10305,137.7
10306,147.7
10307,100.6
10308,124.1
10309,133.6
10310,145.0
10312,113.0
10314,147.0
10451,285.0
10452,259.3
10453,277.1
10454,338.4
10455,267.3
10456,255.4
10457,217.0
10458,197.0
10459,259.0
10460,217.4
10461,246.4
10462,232.4
10463,197.2
10464,233.4
10465,167.0
10466,314.1
10467,326.3
10468,246.8
10469,314.0
10470,246.8
10471,207.1
10472,278.0
10473,291.0
10474,233.8
10475,381.4
11004,158.3
11101,160.2
11102,139.8
11103,88.7
11104,200.5
11105,66.3
11106,90.8
11109,52.1
11201,112.4
11203,362.8
11204,185.5
11205,121.3
11206,193.7
11207,215.7
11208,255.3
11209,128.9
11210,240.5
11211,224.3
11212,306.9
11213,306.5
11214,123.9
11215,90.5
11216,142.3
11217,154.1
11218,214.9
11219,227.6
11220,186.1
11221,160.9
11222,72.0
11223,174.3
11224,183.7
11225,264.3
11226,287.6
11228,86.7
11229,140.1
11230,231.7
11231,120.4
11232,173.5
11233,180.3
11234,209.4
11235,184.1
11236,308.9
11237,220.8
11238,151.3
11239,460.7
11354,179.9
11355,178.8
11356,236.7
11357,186.0
11358,124.9
11360,136.5
11361,147.9
11362,99.4
11363,193.0
11364,103.7
11365,152.9
11366,204.1
11367,228.6
11368,584.4
11369,681.0
11370,289.5
11372,505.9
11373,422.2
11374,236.8
11375,140.3
11377,242.7
11378,193.7
11379,221.1
11385,156.3
11411,322.8
11412,294.0
11413,326.3
11414,218.6
11415,286.1
11416,223.6
11417,190.1
11418,247.4
11419,171.1
11420,217.4
11421,224.7
11422,293.3
11423,314.7
11426,183.5
11427,220.6
11428,344.4
11429,320.0
11432,279.8
11433,287.5
11434,308.6
11435,255.1
11436,259.4
11691,341.0
11692,337.6
11693,284.1
11694,197.3
11697,117.9
